"","x"
"O2.UC32-0",4
"O2.UC32-1",4
"O2.UC32-2",4
"O2.UC35-0",4
"O2.UC36-0",4
"O2.UC4-0",4
"O2.UC4-2",4
"O2.UC40-0",4
"O2.UC40-1",4
"O2.UC40-2",4
"O2.UC41-0",4
"O2.UC41-2",4
"O2.UC46-1",4
"O2.UC46-2",4
"O2.UC47-0",4
"O2.UC48-0",4
"O2.UC48-1",4
"O2.UC50-0",4
"O2.UC50-2",4
"O2.UC53-0",4
"O2.UC53-2",4
"O2.UC56-2",4
"O2.UC57-0",4
"O2.UC57-2",4
"O2.UC58-0",4
"O2.UC58-2",4
"O2.UC59-0",4
"O2.UC59-2",4
"O2.UC7-0",4
"O2.UC7-1",4
"O2.UC8-0",4
"O2.UC8-1",4
"O2.UC8-2",4
"O2.UC9-0",4
"O2.UC9-1",4
"O2.UC9-2",4
"SZEY-30A",4
"SZEY-58A",4
"SZEY-59A",4
"SZEY-81A",4
"T2D-11A",4
"T2D-15A",4
"T2D-26A",4
"T2D-41A",4
"T2D-42A",4
"T2D-45A",4
"V1.CD1-3-PN",4
"V1.CD13-0",4
"V1.CD14-0",4
"V1.CD16-0",4
"V1.CD19-0",4
"V1.CD29-0",4
"V1.CD3-0",4
"V1.CD30-0",4
"V1.CD31-0",4
"V1.CD38-0",4
"V1.CD4-0",4
"V1.CD51-0",4
"V1.CD52-0",4
"V1.CD55-0",4
"V1.CD6-0-PN",4
"V1.CD8-0",4
"V1.CD8-0-PN",4
"V1.FI15",4
"V1.FI20",4
"V1.FI25",4
"V1.FI28",4
"V1.FI29",4
"V1.FI30",4
"V1.FI37",4
"V1.UC10-0",4
"V1.UC10-2",4
"V1.UC14-0",4
"V1.UC15-0",4
"V1.UC15-3",4
"V1.UC2-0",4
"V1.UC2-4",4
"V1.UC22-1",4
"V1.UC23-0",4
"V1.UC23-1",4
"V1.UC26-0",4
"V1.UC27-0",4
"V1.UC30-0",4
"V1.UC31-0",4
"V1.UC33-0",4
"V1.UC34-0",4
"V1.UC40-1",4
"V1.UC42-0",4
"V1.UC43-0",4
"V1.UC45-0",4
"V1.UC47-0",4
"V1.UC47-4",4
"V1.UC48-0",4
"V1.UC49-0",4
"V1.UC49-1",4
"V1.UC5-3",4
"V1.UC50-1",4
"V1.UC51-4",4
"V1.UC52-0",4
"V1.UC52-1",4
"V1.UC55-4",4
"V1.UC57-0",4
"V1.UC6-0",4
"V1.UC8-0",4
"O2.UC35-2",4
"MH0397",4
"763496533-stool1",4
"MH0042",4
"SZEY-62A",4
"V1.FI01",4
"V1.CD1-0-PN",4
"O2.UC23-2",4
"V1.CD27-0",4
"V1.UC12-0",4
"V1.UC55-0",4
"MH0375",4
"MH0408",4
"MH0132",4
"MH0148",4
"763860675-stool1",4
"O2.UC55-0",4
"O2.UC4-1",4
"MH0198",4
"MH0316",4
"MH0454",4
"MH0418",4
"NLM026",4
"763536994-stool1",4
"V1.UC31-4",4
"MH0292",4
"V1.UC40-0",4
"V1.CD32-0",4
"O2.UC47-1",4
"MH0080",4
"MH0051",4
"MH0070",4
"V1.CD36-0",4
"O2.UC37-1",4
"V1.FI26",4
"O2.UC52-2",4
"V1.FI14",4
"V1.UC51-0",4
"O2.UC37-0",4
"V1.CD48-0",4
"MH0019",4
"O2.UC20-0",4
"V1.FI06",4
"O2.UC31-0",4
"O2.UC49-0",4
"V1.UC54-0",4
"O2.UC46-0",4
"T2D-143A",4
"SZEY-41A",4
"MH0298",2
"MH0238",2
"MH309",2
"MH359",2
"V1.UC64-0",2
"MH0095",2
"763840445-stool2",2
"MH0082",2
"MH0002",2
"MH0140",2
"V1.UC9-0",2
"764062976-stool1",2
"MH0287",4
"MH0073",4
"MH0116",4
"MH0176",4
"MH0011",4
"MH0251",4
"MH0458",4
"V1.UC19-0",4
"MH391",4
"MH0252",4
"MH0411",4
"MH0267",4
"SZEY-69A",4
"MH385",4
"MH0204",4
"T2D-20A",4
"DLM018",4
"MH0117",4
"MH0206",4
"MH0142",4
"MH0415",4
"MH0205",4
"763577454-stool2",4
"763577454-stool1",4
"MH0092",4
"MH0199",4
"O2.UC28-1",4
"MH0268",4
"MH0124",4
"MH0036",4
"T2D-56A",4
"MH379",4
"V1.UC36-0",4
"O2.UC17-2",4
"MH378",4
"SZEY-09A",4
"MH0430",4
"T2D-54A",4
"SZEY-07A",4
"V1.FI08",4
"MH0305",4
"MH337",2
"MH0398",2
"O2.UC29-1",2
"V1.UC24-0",4
"MH0179",4
"V1.UC32-0",4
"O2.UC60-0",4
"O2.UC30-1",4
"V1.CD22-0",4
"O2.UC47-2",4
"MH0104",4
"DLM023",4
"O2.UC51-0",2
"MH363",4
"O2.UC56-0",4
"V1.UC4-5",4
"NOM009",4
"MH0163",4
"MH0154",4
"O2.UC12-0",4
"MH0024",2
"765013792-stool1",2
"MH0184",2
"N066A",2
"MH0185",2
"763678604-stool1",2
"SZEY-38A",2
"MH0081",2
"BGI-17A",2
"MH0193",2
"NOF014",2
"MH0247",2
"764002286-stool1",2
"763496533-stool2",2
"706846339-stool1",2
"764649650-stool1",2
"DOM013",2
"MH343",2
"MH0301",2
"O2.UC49-2",2
"763597684-stool1",2
"158499257-stool1",2
"N103A",2
"T2D-140A",2
"O2.UC3-1",2
"T2D-68A",2
"DOM014",2
"764487809-stool1",2
"MH0453",2
"V1.FI02",2
"MH0136",2
"MH0162",2
"O2.UC41-1",2
"MH0020",2
"O2.UC36-2",2
"N017A",2
"MH246",2
"O2.UC36-1",2
"MH0125",2
"MH0462",2
"160400887-stool1",2
"159733294-stool1",2
"T2D-13A",4
"SZEY-78A",4
"SZEY-06A",4
"MH0236",4
"N047A",4
"MH0072",4
"NLM031",4
"NOM018",4
"NLM028",4
"MH0160",4
"SZEY-104A",4
"MH0424",4
"MH0351",4
"MH345",4
"MH0420",4
"NOM007",4
"MH395",4
"MH0045",4
"MH0037",4
"MH0076",4
"T2D-83A",4
"T2D-108A",4
"NLF005",4
"MH0039",4
"MH0276",4
"MH0172",4
"MH0067",4
"MH0123",4
"MH0058",4
"MH0149",4
"MH0139",4
"MH0180",4
"T2D-9A",4
"BGI-28A",4
"SZEY-26A",5
"O2.UC5-2",5
"V1.UC37-0",5
"T2D-155A",2
"O2.UC55-2",4
"V1.CD-PT6-0",4
"V1.UC39-4",2
"T2D-57A",2
"O2.UC54-0",2
"V1.CD17-0",4
"O2.UC37-2",4
"V1.CD35-1",4
"V1.CD7-4",4
"V1.UC46-0",4
"T2D-135A",4
"N042A",1
"V1.CD25-4",2
"MH0150",2
"V1.UC25-1",2
"MH303",4
"MH0330",4
"SZEY-74A",4
"ED50A",1
"DLM010",1
"NOM025",1
"158458797-stool1",1
"158256496-stool1",1
"158479027-stool1",1
"158499257-stool2",3
"158742018-stool1",1
"158802708-stool1",3
"158802708-stool2",3
"158883629-stool1",1
"158924089-stool1",1
"158944319-stool2",1
"159005010-stool1",1
"159146620-stool1",1
"159166850-stool1",3
"159227541-stool1",3
"159227541-stool3",3
"159247771-stool1",1
"159247771-stool2",1
"159268001-stool1",3
"159369152-stool1",1
"159369152-stool2",1
"159490532-stool1",1
"159490532-stool2",1
"159510762-stool1",1
"159510762-stool2",1
"159551223-stool1",1
"159551223-stool2",1
"159571453-stool1",1
"159591683-stool1",1
"159591683-stool2",1
"159611913-stool1",1
"159611913-stool2",1
"159632143-stool1",3
"159713063-stool1",1
"159753524-stool2",1
"159814214-stool1",1
"159814214-stool2",1
"159915365-stool1",1
"160158126-stool1",1
"160158126-stool2",1
"160178356-stool1",1
"160218816-stool1",1
"160319967-stool1",1
"160421117-stool1",1
"160502038-stool1",1
"160582958-stool1",1
"160603188-stool1",1
"160765029-stool1",1
"246515023-stool1",1
"246515023-stool2",1
"338793263-stool1",1
"508703490-stool1",1
"550534656-stool1",1
"604812005-stool1",1
"604812005-stool2",1
"638754422-stool1",1
"638754422-stool2",1
"675950834-stool1",3
"686765762-stool1",1
"686765762-stool2",1
"737052003-stool1",1
"763435843-stool1",3
"763536994-stool3",1
"763678604-stool2",1
"763759525-stool1",1
"763759525-stool2",1
"763820215-stool1",1
"763820215-stool2",1
"763840445-stool1",1
"763961826-stool1",1
"763961826-stool2",1
"763982056-stool1",1
"763982056-stool2",1
"764042746-stool1",1
"764042746-stool2",1
"764062976-stool2",1
"764184357-stool1",1
"764224817-stool2",3
"764285508-stool1",1
"764325968-stool1",1
"764325968-stool2",1
"764447348-stool1",1
"764487809-stool2",1
"764508039-stool1",1
"764669880-stool1",1
"764669880-stool2",1
"764811490-stool1",1
"764892411-stool1",1
"765034022-stool1",1
"765074482-stool1",1
"765094712-stool1",1
"765094712-stool2",1
"765135172-stool1",1
"765560005-stool1",1
"765640925-stool1",3
"823052294-stool1",3
"BGI-06A",1
"BGI-27A",1
"BGI-33A",3
"BGI001A",3
"BGI002A",3
"BGI089A",1
"DLF001",1
"DLF002",1
"DLF003",3
"DLF004",3
"DLF007",1
"DLF008",1
"DLF009",1
"DLF010",3
"DLM002",3
"DLM004",1
"DLM011",1
"DLM015",1
"DLM017",3
"DLM020",1
"DLM021",1
"DLM022",1
"DLM024",1
"DLM027",3
"DLM028",1
"DOF006",1
"DOF007",1
"DOF010",1
"DOF011",3
"DOF012",1
"DOF013",1
"DOM001",3
"DOM003",3
"DOM005",1
"DOM008",1
"DOM015",1
"DOM016",1
"DOM017",1
"DOM018",1
"DOM020",1
"DOM021",1
"DOM023",3
"DOM024",1
"DOM026",1
"ED11A",1
"ED13A",3
"ED15A",1
"ED16A",3
"ED19A",1
"ED20A",3
"HT14A",1
"HT25A",1
"MH0001",3
"MH0005",3
"MH0006",3
"MH0014",1
"MH0018",3
"MH0023",3
"MH0025",1
"MH0026",3
"MH0031",3
"MH0032",3
"MH0034",3
"MH0046",3
"MH0049",3
"MH0050",3
"MH0061",1
"MH0063",3
"MH0064",3
"MH0065",3
"MH0077",3
"MH0078",3
"MH0079",1
"MH0084",3
"MH0085",3
"MH0087",1
"MH0091",3
"MH0093",1
"MH0094",3
"MH0096",3
"MH0097",1
"MH0098",3
"MH0103",3
"MH0105",3
"MH0106",3
"MH0108",3
"MH0109",1
"MH0110",1
"MH0114",1
"MH0119",3
"MH0120",3
"MH0121",1
"MH0128",1
"MH0130",3
"MH0137",3
"MH0138",3
"MH0141",3
"MH0144",3
"MH0146",1
"MH0147",3
"MH0151",3
"MH0152",3
"MH0156",1
"MH0159",1
"MH0164",3
"MH0165",3
"MH0166",1
"MH0167",3
"MH0168",3
"MH0173",3
"MH0178",1
"MH0182",1
"MH0183",3
"MH0186",1
"MH0187",3
"MH0195",3
"MH0197",3
"MH0217",3
"MH0221",1
"MH0224",3
"MH0227",1
"MH0239",1
"MH0243",3
"MH0244",3
"MH0257",3
"MH0260",3
"MH0264",1
"MH0272",3
"MH0274",1
"MH0277",1
"MH0284",3
"MH0286",3
"MH0302",1
"MH0313",3
"MH0315",1
"MH0318",1
"MH0319",3
"MH0321",3
"MH0322",3
"MH0332",3
"MH0334",3
"MH0335",1
"MH0354",3
"MH0365",3
"MH0393",1
"MH0400",3
"MH0401",3
"MH0404",3
"MH0405",3
"MH0407",3
"MH0413",3
"MH0414",3
"MH0421",3
"MH0423",3
"MH0426",1
"MH0427",3
"MH0428",3
"MH0429",3
"MH0436",3
"MH0444",1
"MH0447",3
"MH0456",1
"MH192",3
"MH261",3
"MH283",3
"MH299",3
"MH311",1
"MH336",1
"MH341",1
"MH357",3
"MH360",1
"MH370",1
"MH372",1
"MH374",3
"MH383",1
"MH384",3
"MH387",1
"MH394",1
"N002A",3
"N003A",1
"N005A",1
"N006A",1
"N009A",1
"N011A",3
"N013A",3
"N021A",1
"N024A",1
"N025A",3
"N027A",3
"N028A",1
"N029A",1
"N032A",1
"N033A",3
"N034A",1
"N035A",1
"N038A",1
"N039A",1
"N040A",1
"N043A",1
"N044A",1
"N046A",1
"N049A",1
"N051A",1
"N052A",3
"N062A",3
"N064A",3
"N083A",1
"N084A",1
"N085A",1
"N086A",1
"N104A",1
"NLF001",1
"NLF002",1
"NLF006",3
"NLF008",1
"NLF009",1
"NLF010",1
"NLF011",1
"NLF014",1
"NLF015",1
"NLM001",3
"NLM002",3
"NLM003",1
"NLM004",3
"NLM005",1
"NLM006",1
"NLM007",1
"NLM009",3
"NLM015",3
"NLM016",3
"NLM017",1
"NLM023",1
"NLM024",3
"NLM025",3
"NOF002",1
"NOF004",1
"NOF006",1
"NOF007",1
"NOF008",1
"NOF009",1
"NOF010",3
"NOF011",1
"NOF012",1
"NOF013",1
"NOM001",3
"NOM004",1
"NOM005",1
"NOM008",1
"NOM010",1
"NOM012",3
"NOM013",3
"NOM014",1
"NOM015",1
"NOM016",1
"NOM017",3
"NOM019",3
"NOM020",3
"NOM022",3
"NOM023",1
"NOM028",1
"NOM029",1
"O2.CD1-0",1
"O2.CD1-0-PT",1
"O2.CD2-0",3
"O2.CD2-0-PT",1
"O2.UC1-0",3
"O2.UC1-1",3
"O2.UC12-1",3
"O2.UC12-2",3
"O2.UC14-0",3
"O2.UC14-1",3
"O2.UC15-0",1
"O2.UC15-2",3
"O2.UC16-0",3
"O2.UC16-1",3
"O2.UC16-2",3
"O2.UC17-0",3
"O2.UC18-0",1
"O2.UC19-2",1
"O2.UC23-0",1
"O2.UC24-0",3
"O2.UC24-1",3
"O2.UC26-0",1
"O2.UC26-1",1
"O2.UC26-2",1
"O2.UC34-0",3
"O2.UC38-0",3
"O2.UC38-1",1
"O2.UC38-2",3
"O2.UC43-0",3
"O2.UC43-1",3
"O2.UC43-2",3
"O2.UC44-0",3
"O2.UC44-1",3
"O2.UC5-1",1
"O2.UC52-0",3
"O2.UC54-2",1
"SZEY-08A",1
"SZEY-101A",3
"SZEY-103A",3
"SZEY-106A",1
"SZEY-20A",3
"SZEY-24A",3
"SZEY-27A",3
"SZEY-37A",3
"SZEY-40A",3
"SZEY-44A",3
"SZEY-55A",3
"SZEY-60A",3
"SZEY-63A",3
"SZEY-64A",1
"SZEY-68A",3
"SZEY-73A",3
"SZEY-75A",3
"SZEY-90A",3
"SZEY-93A",1
"SZEY-95A",1
"SZEY-97A",3
"SZEY-99A",3
"T2D-102A",3
"T2D-103A",1
"T2D-106A",1
"T2D-110A",1
"T2D-112A",3
"T2D-113A",1
"T2D-114A",1
"T2D-118A",1
"T2D-120A",1
"T2D-121A",3
"T2D-126A",3
"T2D-127A",1
"T2D-12A",1
"T2D-132A",3
"T2D-134A",1
"T2D-139A",1
"T2D-142A",3
"T2D-144A",1
"T2D-148A",1
"T2D-14A",1
"T2D-154A",1
"T2D-156A",1
"T2D-157A",1
"T2D-163A",3
"T2D-173A",3
"T2D-175A",3
"T2D-177A",1
"T2D-178A",1
"T2D-17A",1
"T2D-189A",3
"T2D-192A",3
"T2D-195A",3
"T2D-19A",1
"T2D-206A",1
"T2D-207A",1
"T2D-22A",1
"T2D-29A",1
"T2D-2A",3
"T2D-31A",1
"T2D-46A",1
"T2D-47A",1
"T2D-49A",3
"T2D-52A",3
"T2D-53A",1
"T2D-61A",1
"T2D-62A",1
"T2D-63A",1
"T2D-66A",1
"T2D-70A",3
"T2D-73A",1
"T2D-76A",3
"T2D-78A",1
"T2D-81A",1
"T2D-87A",3
"T2D-8A",3
"V1.CD-PT2-0",1
"V1.CD-PT3-0",1
"V1.CD-PT4-0",1
"V1.CD1-0",1
"V1.CD10-0",1
"V1.CD12-0",1
"V1.CD12-3",1
"V1.CD15-0",1
"V1.CD17-4",1
"V1.CD18-3",3
"V1.CD2-0",3
"V1.CD2-0-PN",1
"V1.CD20-0",1
"V1.CD20-4",1
"V1.CD21-0",1
"V1.CD21-4",1
"V1.CD25-0",1
"V1.CD28-0",3
"V1.CD3-0-PN",1
"V1.CD3-3-PN",1
"V1.CD34-0",3
"V1.CD35-0",1
"V1.CD37-4",1
"V1.CD40-0",3
"V1.CD41-0",1
"V1.CD42-0",1
"V1.CD44-0",3
"V1.CD44-4",3
"V1.CD45-0",3
"V1.CD5-0-PN",1
"V1.CD53-0",1
"V1.CD7-0",1
"V1.CD7-0-PN",1
"V1.FI03",1
"V1.FI07",3
"V1.FI09",3
"V1.FI12",3
"V1.FI16",3
"V1.FI18",1
"V1.FI23",1
"V1.FI24",1
"V1.FI27",3
"V1.FI31",3
"V1.FI33",1
"V1.FI34",1
"V1.UC11-0",1
"V1.UC11-5",1
"V1.UC14-1",1
"V1.UC17-0",3
"V1.UC29-0",1
"V1.UC3-0",3
"V1.UC3-2",3
"V1.UC4-0",3
"V1.UC41-0",3
"V1.UC44-0",3
"V1.UC53-0",3
"V1.UC53-4",3
"V1.UC54-4",3
"V1.UC56-0",3
"V1.UC56-1",3
"V1.UC58-0",3
"V1.UC59-0",1
"V1.UC59-4",3
"V1.UC61-0",1
"V1.UC7-0",3
"SZEY-29A",1
"V1.FI21",1
"DOM022",1
"T2D-187A",1
"DLM007",1
"DOM012",1
"ED10A",1
"MH0308",1
"MH358",1
"V1.FI36",3
"O2.UC60-2",3
"V1.UC25-0",3
"N074A",1
"V1.CD11-0",1
"NLM022",1
"DLM001",3
"T2D-91A",1
"T2D-48A",1
"V1.UC28-0",3
"V1.CD18-0",3
"V1.UC17-2",1
"DLM013",1
"NOF001",3
"O2.UC17-1",3
"MH0222",3
"DLM006",3
"NLM008",3
"MH0389",3
"N087A",1
"T2D-77A",1
"N031A",1
"MH0157",3
"404239096-stool1",1
"MH0425",1
"765074482-stool2",1
"N001A",1
"NLF012",1
"NLM029",1
"T2D-65A",1
"N026A",1
"N082A",1
"DLF012",1
"NLM027",1
"T2D-203A",3
"T2D-109A",3
"DOF014",1
"V1.CD6-4",1
"V1.FI17",1
"SZEY-39A",1
"V1.FI05",1
"MH0347",3
"764588959-stool1",1
"764143897-stool2",1
"765620695-stool1",1
"809635352-stool1",1
"861967750-stool1",1
"BGI-15A",1
"DOF003",1
"V1.UC12-4",3
"MH0189",3
"MH0030",3
"DLM016",1
"DLM014",1
"DLM005",1
"DLF006",1
"MH0348",1
"N020A",1
"N022A",1
"T2D-59A",1
"T2D-97A",1
"MH0333",1
"N037A",3
"MH0307",3
"V1.CD50-0",3
"HT8A",1
"DLM012",1
"O2.UC19-1",1
"T2D-35A",1
"T2D-146A",1
"DLF014",1
"ED12A",1
"NLM010",1
"NOF005",1
"DLM009",1
"V1.UC16-0",1
"T2D-25A",1
"158337416-stool1",1
"T2D-150A",1
"MH0013",1
"MH0323",3
"MH0245",3
"O2.UC6-1",3
"MH0161",3
"MH0329",3
"MH0191",3
"MH328",3
"DOM019",1
"BGI-34A",1
"MH0289",1
"N079A",1
"MH0133",1
"V1.UC13-0",1
"DLM003",1
"SZEY-10A",1
"V1.CD6-0",1
"MH327",1
"V1.FI35",1
"MH342",1
"MH0220",3
"SZEY-79A",1
"N089A",1
"V1.CD4-0-PN",1
"T2D-133A",1
"T2D-105A",1
"NLM021",1
"NLF013",1
"T2D-149A",1
"T2D-34A",1
"MH0388",1
"MH0266",1
"DOF004",1
"MH338",1
"159571453-stool2",1
"159207311-stool1",1
"160643649-stool1",1
"763860675-stool2",1
"159227541-stool2",1
"DOF009",1
"V1.FI10",1
"MH0402",3
"O2.UC6-0",3
"V1.UC21-4",3
"V1.UC21-0",3
"V1.UC38-0",3
"V1.CD46-0",1
"MH0212",1
"DOM010",1
"MH0053",3
"MH0009",3
"MH0288",3
"MH0169",3
"MH0200",3
"MH0181",3
"O2.UC44-2",3
"765701615-stool1",3
"MH392",3
"V1.UC26-4",3
"O2.UC11-1",3
"V1.FI32",3
"T2D-198A",1
"ED14A",1
"DOM025",1
"763901136-stool2",1
"158337416-stool2",1
"V1.UC38-4",1
"T2D-176A",1
"MH0074",1
"V1.UC39-0",3
"O2.UC6-2",3
"O2.UC24-2",3
"MH0211",1
"MH0010",1
"SZEY-66A",1
"MH368",1
"MH0134",1
"MH0068",1
"MH361",1
"T2D-10A",1
"V1.UC5-0",1
"MH0310",1
"MH0297",1
"ED9A",1
"DLM008",1
"MH0455",1
"T2D-107A",1
"MH0340",1
"MH0038",1
"MH0016",1
"MH0155",1
"159268001-stool2",3
"T2D-122A",1
"O2.UC34-2",1
"V1.UC18-0",1
"V1.CD15-3",1
"NOM027",1
"DOF008",1
"BGI003A",1
"O2.UC23-1",1
"O2.UC27-1",1
"N075A",1
"MH0275",1
"SZEY-48A",5
"SZEY-43A",5
"V1.FI22",5
"NOM002",5
"N056A",5
"SZEY-35A",5
"SZEY-22A",5
"V1.CD54-0",5
"V1.CD32-4",5
